35	800	2019	11	18	2020	3	24	¿Õµ÷	241.8685107	21.48929728	ºúð©î£	ÎÞ	1
14	501	2019	1	19	2020	9	19	¿Õµ÷	824.3247383	43.0931349	ºúð©î£	ÎÞ	0
21	607	2020	6	24	2019	11	17	¿Õµ÷	837.2386071	12.66835914	ºúð©î£	ÎÞ	0
39	909	2020	7	16	2019	12	3	¿Õµ÷	353.8256822	111.123543	ºúð©î£	ÎÞ	0
14	400	2020	2	19	2019	1	25	¿Õµ÷	528.4722266	178.433583	ºúð©î£	ÎÞ	1
19	705	2019	3	4	2019	12	9	¿Õµ÷	56.93247214	75.31965442	ºúð©î£	ÎÞ	0
11	608	2019	1	4	2019	2	14	¿Õµ÷	853.7146794	373.3372772	ºúð©î£	ÎÞ	0
2	203	2019	11	24	2019	10	22	¿Õµ÷	161.2237362	303.9155766	ºúð©î£	ÎÞ	0
15	700	2020	10	8	2019	11	22	¿Õµ÷	479.3828804	268.4645064	ºúð©î£	ÎÞ	0
21	304	2019	6	17	2020	11	1	¿Õµ÷	93.66659994	295.2980503	ºúð©î£	ÎÞ	0
2	400	2019	4	6	2019	4	7	¿Õµ÷	115.3009618	22.36773661	ºúð©î£	ÎÞ	1
27	306	2020	12	10	2020	5	27	¿Õµ÷	417.108193	89.77550087	ºúð©î£	ÎÞ	1
24	303	2019	4	22	2020	5	28	¿Õµ÷	876.0246311	130.9008111	ºúð©î£	ÎÞ	0
25	1005	2020	6	2	2019	8	14	¿Õµ÷	767.1451033	18.19851517	ºúð©î£	ÎÞ	1
49	504	2020	12	4	2019	1	24	¿Õµ÷	352.4562063	311.965107	ºúð©î£	ÎÞ	1
41	807	2019	9	4	2020	5	5	¿Õµ÷	796.6000615	440.9009221	ºúð©î£	ÎÞ	0
21	401	2020	3	16	2020	9	13	¿Õµ÷	832.4735411	103.4275559	ºúð©î£	ÎÞ	1
17	900	2019	4	20	2019	10	9	¿Õµ÷	553.1358464	35.87141253	ºúð©î£	ÎÞ	1
43	1008	2020	6	5	2020	6	25	¿Õµ÷	823.758061	13.30856759	ºúð©î£	ÎÞ	1
26	604	2019	9	23	2019	10	27	¿Õµ÷	314.5363389	312.6738358	ºúð©î£	ÎÞ	1
25	507	2019	2	6	2020	2	19	¿Õµ÷	674.9196013	266.9408427	ºúð©î£	ÎÞ	1
6	304	2019	8	25	2020	11	14	¿Õµ÷	797.6531511	33.99859314	ºúð©î£	ÎÞ	0
14	601	2020	12	19	2019	7	26	¿Õµ÷	945.2281847	315.6350717	ºúð©î£	ÎÞ	1
19	509	2019	12	20	2019	1	5	¿Õµ÷	474.0914819	95.096327	ºúð©î£	ÎÞ	0
13	309	2020	12	15	2019	7	9	¿Õµ÷	871.7593727	14.73623111	ºúð©î£	ÎÞ	0
40	900	2020	9	25	2020	9	15	¿Õµ÷	893.69663	325.4283371	ºúð©î£	ÎÞ	0
1	308	2020	8	6	2020	9	6	¿Õµ÷	921.4591096	360.885894	ºúð©î£	ÎÞ	1
26	403	2019	6	4	2019	12	5	¿Õµ÷	604.4743467	238.1612654	ºúð©î£	ÎÞ	1
2	409	2019	10	19	2019	5	20	¿Õµ÷	689.7522903	206.527947	ºúð©î£	ÎÞ	1
43	800	2019	11	8	2020	8	28	¿Õµ÷	354.8999588	239.5692331	ºúð©î£	ÎÞ	1
1	400	2020	8	6	2019	10	9	¿Õµ÷	79.10771854	98.6979428	ºúð©î£	ÎÞ	1
36	402	2019	11	12	2019	9	24	¿Õµ÷	46.71460972	155.5256186	ºúð©î£	ÎÞ	1
24	308	2019	9	9	2019	10	10	¿Õµ÷	648.4504922	182.2854857	ºúð©î£	ÎÞ	1
33	703	2019	10	15	2019	12	10	¿Õµ÷	237.3098975	38.2905461	ºúð©î£	ÎÞ	0
3	1008	2020	12	26	2020	8	11	¿Õµ÷	144.7483443	305.6278893	ºúð©î£	ÎÞ	1
17	604	2020	2	24	2020	11	20	¿Õµ÷	644.5703127	167.4327065	ºúð©î£	ÎÞ	0
1	207	2019	1	22	2020	11	3	¿Õµ÷	601.9327002	290.9018545	ºúð©î£	ÎÞ	0
35	807	2019	1	27	2020	10	12	¿Õµ÷	502.3296976	127.4674745	ºúð©î£	ÎÞ	1
44	805	2019	10	19	2019	10	18	¿Õµ÷	668.8549138	179.9749218	ºúð©î£	ÎÞ	0
2	602	2019	3	2	2019	7	13	¿Õµ÷	127.2645642	420.5986585	ºúð©î£	ÎÞ	0
42	206	2020	6	1	2020	3	5	¿Õµ÷	580.620041	474.5885114	ºúð©î£	ÎÞ	1
39	1004	2020	1	5	2020	7	6	¿Õµ÷	458.8654844	367.3610311	ºúð©î£	ÎÞ	1
7	607	2019	7	9	2020	11	25	¿Õµ÷	930.4446001	351.8147282	ºúð©î£	ÎÞ	1
38	408	2019	7	8	2020	5	5	¿Õµ÷	776.0670714	477.5694523	ºúð©î£	ÎÞ	0
16	405	2019	1	9	2019	6	19	¿Õµ÷	112.2851902	423.4292022	ºúð©î£	ÎÞ	1
47	905	2019	4	5	2019	1	18	¿Õµ÷	498.2571344	173.8349965	ºúð©î£	ÎÞ	1
14	704	2020	7	21	2019	10	24	¿Õµ÷	752.7859759	273.4662829	ºúð©î£	ÎÞ	1
48	404	2020	5	1	2020	3	19	¿Õµ÷	696.4417543	111.2318704	ºúð©î£	ÎÞ	0
7	905	2019	8	10	2020	4	3	¿Õµ÷	253.7400032	253.3511481	ºúð©î£	ÎÞ	1
49	607	2020	2	24	2019	2	12	¿Õµ÷	610.2155397	194.5934644	ºúð©î£	ÎÞ	1
35	306	2020	4	25	2020	6	18	¿Õµ÷	695.0507881	173.2146866	ºúð©î£	ÎÞ	1
19	708	2019	11	8	2019	10	5	¿Õµ÷	693.5848369	308.0889306	ºúð©î£	ÎÞ	1
13	105	2019	9	14	2019	8	11	¿Õµ÷	363.1538524	54.46451441	ºúð©î£	ÎÞ	0
2	600	2019	8	3	2020	11	1	¿Õµ÷	63.82329354	169.4825932	ºúð©î£	ÎÞ	0
6	106	2020	5	20	2019	7	17	¿Õµ÷	914.6274098	346.097948	ºúð©î£	ÎÞ	1
14	309	2019	7	13	2019	8	6	¿Õµ÷	363.5166864	190.1787337	ºúð©î£	ÎÞ	1
22	105	2020	9	3	2019	9	28	¿Õµ÷	339.2470122	484.2547927	ºúð©î£	ÎÞ	0
43	907	2019	1	28	2019	7	20	¿Õµ÷	590.7822364	445.9568427	ºúð©î£	ÎÞ	0
17	300	2019	1	1	2020	12	14	¿Õµ÷	801.4173249	158.9811443	ºúð©î£	ÎÞ	0
36	307	2019	9	17	2019	5	10	¿Õµ÷	53.41139055	169.0369892	ºúð©î£	ÎÞ	1
43	104	2020	12	3	2019	12	28	¿Õµ÷	144.0200136	52.86157535	ºúð©î£	ÎÞ	0
23	201	2020	5	12	2020	6	25	¿Õµ÷	91.74627243	33.46739755	ºúð©î£	ÎÞ	0
31	701	2020	12	12	2019	8	7	¿Õµ÷	609.6233659	245.7851307	ºúð©î£	ÎÞ	1
37	1008	2020	8	9	2019	11	9	¿Õµ÷	717.6629156	225.6835805	ºúð©î£	ÎÞ	1
21	709	2019	9	9	2020	6	26	¿Õµ÷	648.4695993	285.8578327	ºúð©î£	ÎÞ	1
39	107	2020	10	13	2019	4	2	¿Õµ÷	125.3183427	400.9116336	ºúð©î£	ÎÞ	1
36	200	2019	7	16	2020	3	1	¿Õµ÷	396.6696746	81.60821143	ºúð©î£	ÎÞ	1
38	102	2020	4	6	2020	12	11	¿Õµ÷	243.3422522	200.4936621	ºúð©î£	ÎÞ	1
4	1005	2020	3	2	2019	9	24	¿Õµ÷	666.9376161	6.600482583	ºúð©î£	ÎÞ	1
43	104	2019	2	27	2019	6	5	¿Õµ÷	132.7161955	215.7594193	ºúð©î£	ÎÞ	1
4	208	2020	5	8	2019	5	17	¿Õµ÷	868.0596026	40.53669882	ºúð©î£	ÎÞ	1
37	401	2019	1	25	2020	6	3	¿Õµ÷	544.3907332	97.45729634	ºúð©î£	ÎÞ	1
49	208	2019	11	22	2019	11	20	¿Õµ÷	790.2736169	202.8232287	ºúð©î£	ÎÞ	1
9	606	2019	7	9	2019	12	23	¿Õµ÷	929.7113269	225.0134595	ºúð©î£	ÎÞ	0
24	401	2019	12	7	2019	3	12	¿Õµ÷	592.6445717	173.9072398	ºúð©î£	ÎÞ	1
22	606	2019	8	14	2020	9	12	¿Õµ÷	349.223509	112.2320937	ºúð©î£	ÎÞ	0
48	506	2019	12	26	2019	2	12	¿Õµ÷	49.70636752	275.8454078	ºúð©î£	ÎÞ	0
21	1003	2020	2	14	2019	6	6	¿Õµ÷	913.2388734	435.2995395	ºúð©î£	ÎÞ	0
19	700	2020	7	28	2020	3	10	¿Õµ÷	757.9561637	188.6378659	ºúð©î£	ÎÞ	1
38	407	2019	7	16	2020	6	20	¿Õµ÷	20.37551575	89.38822407	ºúð©î£	ÎÞ	1
44	900	2020	3	7	2020	3	20	¿Õµ÷	683.5077669	188.3874515	ºúð©î£	ÎÞ	0
34	1003	2019	2	10	2019	1	3	¿Õµ÷	434.8884592	161.3317172	ºúð©î£	ÎÞ	0
35	606	2020	2	2	2020	11	28	¿Õµ÷	151.8858033	119.7146265	ºúð©î£	ÎÞ	1
13	206	2019	2	19	2019	1	6	¿Õµ÷	402.5484178	112.9117885	ºúð©î£	ÎÞ	0
35	304	2019	7	16	2019	10	18	¿Õµ÷	459.7597425	344.9150994	ºúð©î£	ÎÞ	0
32	307	2019	8	23	2019	2	11	¿Õµ÷	776.7279306	228.9395614	ºúð©î£	ÎÞ	0
12	905	2019	3	10	2020	7	24	¿Õµ÷	447.3630682	48.61824521	ºúð©î£	ÎÞ	1
31	205	2020	2	4	2020	2	27	¿Õµ÷	453.5218406	151.603405	ºúð©î£	ÎÞ	1
17	106	2019	11	2	2019	1	20	¿Õµ÷	833.6472235	338.1496959	ºúð©î£	ÎÞ	0
16	102	2019	9	26	2020	12	20	¿Õµ÷	721.4353236	263.0161161	ºúð©î£	ÎÞ	0
41	202	2019	11	21	2019	5	27	¿Õµ÷	728.907712	45.59028631	ºúð©î£	ÎÞ	0
42	1003	2019	7	5	2020	7	12	¿Õµ÷	67.14585814	14.6637433	ºúð©î£	ÎÞ	1
9	507	2019	10	14	2019	12	23	¿Õµ÷	931.2142748	242.2561348	ºúð©î£	ÎÞ	0
18	506	2019	1	17	2020	1	3	¿Õµ÷	625.5737158	318.637277	ºúð©î£	ÎÞ	0
48	609	2019	11	28	2019	2	28	¿Õµ÷	414.3768225	387.729042	ºúð©î£	ÎÞ	1
39	308	2020	5	21	2020	12	28	¿Õµ÷	273.5510571	113.8678601	ºúð©î£	ÎÞ	1
41	906	2019	1	22	2019	2	3	¿Õµ÷	87.69770885	164.4523691	ºúð©î£	ÎÞ	1
26	108	2020	8	14	2019	7	27	¿Õµ÷	704.0205868	171.4929595	ºúð©î£	ÎÞ	1
5	301	2019	3	16	2019	11	10	¿Õµ÷	351.8474668	458.7948889	ºúð©î£	ÎÞ	0
