16 107 2019 2 4 2020 12 13 ¿Õµ÷ 992.160156 158.565956 ºúð©î£ ÎÞ 0
44 503 2019 2 6 2020 8 4 ¿Õµ÷ 955.808119 133.982216 ºúð©î£ ÎÞ 1
123 809 2019 3 26 2019 9 21 ¿Õµ÷ 176.447249 248.292044 ºúð©î£ ÎÞ 1
12 102 2019 4 2 2020 2 4 ¿Õµ÷ 271.719538 344.647204 ºúð©î£ ÎÞ 0
40 400 2019 4 19 2020 11 19 ¿Õµ÷ 95.819722 159.902427 ºúð©î£ ÎÞ 0
28 807 2019 4 23 2019 9 17 ¿Õµ÷ 873.208928 323.437684 ºúð©î£ ÎÞ 1
21 903 2019 5 18 2020 1 28 ¿Õµ÷ 556.061035 203.160528 ºúð©î£ ÎÞ 1
1 234 2019 5 23 2019 5 22 Íí°² 0.000000 0.000000 ºúð©î£ ÎÞ 0
2 704 2019 7 17 2019 12 2 ¿Õµ÷ 279.226689 374.188971 ºúð©î£ ÎÞ 1
4 204 2019 8 8 2020 3 25 ¿Õµ÷ 248.653876 348.857203 ºúð©î£ ÎÞ 0
35 200 2019 8 12 2019 9 19 ¿Õµ÷ 622.889584 454.007933 ºúð©î£ ÎÞ 0
3 302 2019 8 28 2020 10 22 ¿Õµ÷ 537.636801 110.827359 ºúð©î£ ÎÞ 0
13 700 2019 9 27 2020 4 10 ¿Õµ÷ 525.725958 413.176538 ºúð©î£ ÎÞ 0
14 601 2019 10 16 2019 2 5 ¿Õµ÷ 749.860286 498.156597 ºúð©î£ ÎÞ 1
41 601 2019 11 4 2020 3 15 ¿Õµ÷ 30.832447 440.633998 ºúð©î£ ÎÞ 1
27 902 2019 11 16 2020 4 20 ¿Õµ÷ 700.389866 372.357866 ºúð©î£ ÎÞ 0
39 1003 2019 11 26 2019 3 14 ¿Õµ÷ 518.105820 227.329702 ºúð©î£ ÎÞ 0
37 201 2019 12 26 2019 8 11 ¿Õµ÷ 369.295358 341.926398 ºúð©î£ ÎÞ 1
42 203 2020 1 21 2019 5 10 ¿Õµ÷ 648.776988 371.896643 ºúð©î£ ÎÞ 1
38 703 2020 2 10 2019 9 5 ¿Õµ÷ 556.214153 318.930560 ºúð©î£ ÎÞ 0
33 905 2020 4 24 2020 9 22 ¿Õµ÷ 213.185504 3.608270 ºúð©î£ ÎÞ 1
41 408 2020 5 8 2019 4 15 ¿Õµ÷ 516.345216 142.161082 ºúð©î£ ÎÞ 1
37 304 2020 6 27 2019 8 5 ¿Õµ÷ 227.762987 170.013024 ºúð©î£ ÎÞ 0
7 601 2020 8 18 2019 3 22 ¿Õµ÷ 530.714175 472.107996 ºúð©î£ ÎÞ 1
4 509 2020 10 6 2019 12 23 ¿Õµ÷ 565.289868 49.338826 ºúð©î£ ÎÞ 0
7 401 2020 11 17 2020 6 14 ¿Õµ÷ 904.692682 493.364641 ºúð©î£ ÎÞ 1
